agencyCode,agencyName,currentUII,investmentName,metricDescription,performanceMeasurementCategory,unitOfMeasure,reportingFrequency,agencyBaselineCapability,measurementCondition,target2022PY,target2023CY,dateOfLatestActualResult,latestActualResult,metTarget,isRetired,updatedTime
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","Productivity enhancements provided that increase users  productivity in utilizing HECC resources for their simulations and data analysis. Enhancements include: optimizing code performance such as runtime or memory footprint; porting codes to HECC resources; troubleshooting code errors, compiler issues, library interfaces, I/O problems etc.; and providing tools and scripts to ease their task of using our systems.","Customer Satisfaction","Number of Enhancements",Semi-Annual,0,"Over target",20,,,,,false,"2022-10-04 15:05:42"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Number of users","Strategic and Business Results",Count,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:21"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Operation of the James Webb Space Telescope Science and Operations Center","Strategic and Business Results",Percentage,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:22"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Operation of the James Webb Space Telescope Science and Operations Center","Strategic and Business Results",Percentage,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:25"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Determined by the sum total of combined minutes over a month of MSOC Un-scheduled service outages divided by the sum total of minutes over a month.  Outages are determined failures of MSOC systems or services.  It is not considered a loss of service if redundancy is lost.                                                  A.  There are 8 non-critical services within the MCC.  They are as follows:1. Telemetry (Ku-Band for ISS Mission Activities, S- and Ku Band for SIM and TEST Activities)2. Comm","Strategic and Business Results",Percentage,Monthly,0,"Over target",99.63,,,,,false,"2022-10-04 15:04:01"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Determined by the sum total of combined minutes over a month of MSOC Un-scheduled service outages divided by the sum total of minutes over a month.  Outages are determined failures of MSOC systems or services.  It is not considered a loss of service if redundancy is lost.                                       1.  There are 4 critical services within the MCC:  Telemetry, Command, Voice and Tracking.                                                                       2.  The determined number o","Customer Satisfaction",Percentage,Monthly,0,"Over target",100,,,,,false,"2022-10-04 15:04:01"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","Count of Problem Reports opened/closed/total outstanding by month Target for 2018 - Reduce Backlog Target for 2019 - Reduce Backlog","Strategic and Business Results",Number,Monthly,0,"Over target",0,,,,,false,"2022-10-04 15:04:11"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","PRs/KSLOC (problem report) of immature code (operational software that does not meet the definition for mature code)","Strategic and Business Results",Number,Monthly,0,"Over target",1,,,,,false,"2022-10-04 15:04:11"
026,"National Aeronautics and Space Administration",026-000005020,"JSC CA Mission Control Center Systems (MCCS)","PRs/KSLOC(Problem Report) of mature code, defined as software more than two years old and where no more than half of the source lines of code have changed within the prior year","Strategic and Business Results",Number,Monthly,0,"Under target",0.03,,,,,false,"2022-10-04 15:04:12"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of time that the high performance computing cluster is available to the scientific user community.","Customer Satisfaction",percentage,Monthly,0,"Over target",95,,,,,false,"2022-10-04 15:05:35"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The amount of high performance computational resources available to the scientific user community in quadrillions (10^15) of floating point operations per second (PFLOPS).","Strategic and Business Results","number - PFLOPS",Annual,0,"Over target",7,,,,,false,"2022-10-04 15:05:36"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of utilization of the high performance computing cluster by the scientific community.","Customer Satisfaction",percentage,Monthly,0,"Over target",75,,,,,false,"2022-10-04 15:05:29"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The number of scientific research projects supported by the NCCS.","Strategic and Business Results",number,Monthly,0,"Over target",170,,,,,false,"2022-10-04 15:05:31"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The usable storage capacity of the NCCS Centralized Storage System (CSS), in Petabytes (10^15 bytes), provided to store actively used, researcher-curated data results for use by the scientific user community on NCCS resources.","Customer Satisfaction","Petabytes (number)",Monthly,0,"Over target",45,,,,,false,"2022-10-04 15:05:31"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","EOSDIS average .score on the American Customer Satisfaction Index (ACSI) done annually.","Customer Satisfaction","1-100 point scale",Annual,0,"Over target",72,,,,,false,"2022-10-04 15:05:14"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Number of distinct (i.e. not including duplicates) 
products distributed in the fiscal year","Customer Satisfaction","Number of datasets",Monthly,0,"Over target",82000000,,,,,false,"2022-10-04 15:05:17"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","The number of distinct (i.e. not duplicated) files that are distributed in the fiscal year.","Strategic and Business Results",Count,Semi-Annual,0,"Over target",82000000,,,,,false,"2022-10-04 15:05:18"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Ratio of distributed volume to users to datasets that have been archived (archived volume)","Customer Satisfaction",Number,Semi-Annual,0,"Under target",1,,,,,false,"2022-10-04 15:05:20"
026,"National Aeronautics and Space Administration",026-000001111,"Deep Space Network (716A)","Number of Missions supported by the DSN","Strategic and Business Results","Numeric count",Quarterly,40,"Over target",40,,,,,false,"2022-10-04 15:04:07"
026,"National Aeronautics and Space Administration",026-000001111,"Deep Space Network (716A)","Network Data Delivery Proficiency","Customer Satisfaction",Percent,Quarterly,95,"Over target",95,,,,,false,"2022-10-04 15:04:15"
026,"National Aeronautics and Space Administration",026-000001111,"Deep Space Network (716A)","Network Telemetry Delivery Proficiency","Strategic and Business Results",Percent,Quarterly,95,"Over target",95,,,,,false,"2022-10-04 15:04:17"
026,"National Aeronautics and Space Administration",026-000001111,"Deep Space Network (716A)","Network Command Delivery Proficiency","Strategic and Business Results",Percent,Quarterly,95,"Over target",95,,,,,false,"2022-10-04 15:04:13"
026,"National Aeronautics and Space Administration",026-000001111,"Deep Space Network (716A)","Network Radiometric Delivery Proficiency","Strategic and Business Results",Percent,Quarterly,95,"Over target",95,,,,,false,"2022-10-04 15:04:14"
026,"National Aeronautics and Space Administration",026-000005030,"JSC CA Training Systems","TS(Training System) PR(Problem Report) Backlog metric count of Problem Reports opened/closed/total outstanding by month","Strategic and Business Results",Number,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:04:32"
026,"National Aeronautics and Space Administration",026-000005030,"JSC CA Training Systems","PRs/KSLOC of immature code (operational software that does not meet the definition for mature code)","Strategic and Business Results",Number,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:04:34"
026,"National Aeronautics and Space Administration",026-000005030,"JSC CA Training Systems","PRs/KSLOC of mature code, defined as software more than two years old and where no more than half of the source lines of code have changed within the prior year.","Strategic and Business Results",Number,Monthly,0,"Under target",0.04,,,,,false,"2022-10-04 15:04:37"
026,"National Aeronautics and Space Administration",026-000005030,"JSC CA Training Systems","TS (Training System) Customer Satisfaction metric results are determined by the returned surveys completed on a monthly bases which tells how well the TS Objectives are met","Customer Satisfaction",Number,Monthly,0,"Over target",4.74,,,,,false,"2022-10-04 15:04:39"
026,"National Aeronautics and Space Administration",026-000001102,"NASA Financial Management System","Financial Management System Production Application Availability","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",99.8,,,,,false,"2022-09-28 16:07:55"
026,"National Aeronautics and Space Administration",026-000001102,"NASA Financial Management System","Financial Management System Severity 2 - Resolved within 8 primary business hours","Customer Satisfaction",Percent,Semi-Annual,0,"Over target",98,,,,,false,"2022-09-28 16:07:57"
026,"National Aeronautics and Space Administration",026-000001102,"NASA Financial Management System","Financial Management System Master Data Changes resolved within 2 Business days","Strategic and Business Results",Percent,Semi-Annual,0,"Over target",98,,,,,false,"2022-09-28 16:08:00"
026,"National Aeronautics and Space Administration",026-000001102,"NASA Financial Management System","Financial Management System Applications Enhancement On-Schedule Delivery","Strategic and Business Results",Percent,Monthly,0,"Over target",98,,,,,false,"2022-09-28 16:08:00"
026,"National Aeronautics and Space Administration",026-000001102,"NASA Financial Management System","SAP Operating Cost Per End User","Financial Performance",Dollars,Semi-Annual,0,"Under target",700,,,,,false,"2022-09-28 16:08:01"
026,"National Aeronautics and Space Administration",026-000001001,"MSFC - HP - Payload Operations and Integration Center (POIC)","Command Services availability.","Customer Satisfaction",Percent,Monthly,0,"Over target",99.5,,,,,false,"2022-10-04 15:04:51"
026,"National Aeronautics and Space Administration",026-000001001,"MSFC - HP - Payload Operations and Integration Center (POIC)","Non-mission support service hours.","Strategic and Business Results",Hours,Monthly,0,"Over target",500,,,,,false,"2022-10-04 15:04:52"
026,"National Aeronautics and Space Administration",026-000001001,"MSFC - HP - Payload Operations and Integration Center (POIC)","Mission support service hours.","Strategic and Business Results",Hours,Monthly,0,"Over target",672,,,,,false,"2022-10-04 15:04:53"
026,"National Aeronautics and Space Administration",026-000001001,"MSFC - HP - Payload Operations and Integration Center (POIC)","Duration of Single Outage","Strategic and Business Results",Hours,Monthly,0,"Under target",3.5,,,,,false,"2022-10-04 15:04:53"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Number of JWST publications","Customer Satisfaction",Number,Annual,0,"Under target",0,,,,,false,"2022-10-04 15:03:26"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Number of Users","Strategic and Business Results",Count,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:28"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The number of scientific papers published based on science research work performed using NCCS HPC resources.","Strategic and Business Results",Number,Monthly,40,"Over target",80,,,,,false,"2022-10-04 15:05:39"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Customer satisfaction with overall quality of AMMOS","Customer Satisfaction",%,Semi-Annual,0,"Over target",90,,,,,false,"2022-10-03 09:33:33"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Customer satisfaction with overall quality of AMMOS","Customer Satisfaction",%,Semi-Annual,0,"Over target",90,,,,,false,"2022-10-03 09:33:35"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Customer satisfaction with usage of AMMOS","Customer Satisfaction",%,Semi-Annual,0,"Over target",90,,,,,false,"2022-10-03 09:33:25"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Customer satisfaction with usage of AMMOS","Customer Satisfaction",%,Semi-Annual,0,"Over target",90,,,,,false,"2022-10-03 09:33:27"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Number of new customers adopting AMMOS","Strategic and Business Results","Numeric Count",Semi-Annual,0,"Over target",1,,,,,false,"2022-10-03 09:33:31"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Number of new customers adopting AMMOS","Strategic and Business Results","Numeric Count",Semi-Annual,0,"Over target",1,,,,,false,"2022-10-03 09:33:31"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Infusion of technology tasks into AMMOS or directly to missions",Innovation,"Numeric Count",Annual,0,"Over target",1,,,,,false,"2022-10-03 09:33:35"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Infusion of technology tasks into AMMOS or directly to misisons.",Innovation,"Numeric Count",Annual,0,"Over target",1,,,,,false,"2022-10-03 09:33:21"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Number of mission customers using AMMOS","Strategic and Business Results","Numeric Count",Semi-Annual,0,"Over target",80,,,,,false,"2022-10-03 09:33:29"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","Number of mission customers using AMMOS","Strategic and Business Results","Numeric Count",Semi-Annual,0,"Over target",80,,,,,false,"2022-10-03 09:33:27"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","7,500,000.00","Strategic and Business Results","Numeric Cound",Quarterly,0,"Over target",7500000,,,,,false,"2022-10-03 09:33:34"
026,"National Aeronautics and Space Administration",026-000000756,"Advanced Multi-Mission Operation System (823153)","High precision ephemerides for solar-system bodies provided to customers (files)","Strategic and Business Results","Numeric Count",Quarterly,0,"Over target",7500000,,,,,false,"2022-10-03 09:33:32"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Percentage of wall clock time on target","Strategic and Business Results",Percentage,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:28"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Percentage of wall clock time on target","Strategic and Business Results",Percentage,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:29"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Average number of GB/mo retrieved from archive","Customer Satisfaction",Number,Annual,0,"Under target",0,,,,,false,"2022-10-04 15:03:30"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Average number of GB/mo retrieved from archive","Customer Satisfaction",Number,Annual,0,"Under target",0,,,,,false,"2022-10-04 15:03:31"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Number of JWST publications","Customer Satisfaction",Number,Annual,0,"Under target",0,,,,,false,"2022-10-04 15:03:31"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The percentage of IT milestones completed on or ahead of schedule.","Strategic and Business Results",percent,Annual,0,"Over target",90,,,,,false,"2022-10-04 15:03:27"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The percent of wallclock time on target.","Strategic and Business Results",percent,Annual,0,"Over target",35,,,,,false,"2022-10-04 15:03:24"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The number of HST publications.","Customer Satisfaction",number,Annual,0,"Over target",700,,,,,false,"2022-10-04 15:03:29"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The percentage of system uptime for flight operations.","Strategic and Business Results",percent,Monthly,0,"Over target",99.95,,,,,false,"2022-10-04 15:03:27"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The percent of wallclock time on target.","Strategic and Business Results",percent,Annual,0,"Over target",35,,,,,false,"2022-10-04 15:03:31"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Development and operation of the James Webb Space Telescope Science and Operations Center","Strategic and Business Results",percentage,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:18"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","The average number of GB/mo retrieved from archive","Customer Satisfaction",Number,Annual,0,"Under target",0,,,,,false,"2022-10-04 15:03:19"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","The percentage of wall clock time on target","Strategic and Business Results",percentage,Monthly,0,"Under target",0,,,,,false,"2022-10-04 15:03:18"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","Number of Users","Strategic and Business Results",Count,Monthly,0,"Over target",0,,,,,false,"2022-10-04 15:03:20"
026,"National Aeronautics and Space Administration",026-000001020,"James Webb Space Telescope Program (913K)","The number of JWST publications","Customer Satisfaction",Number,Annual,0,"Under target",0,,,,,false,"2022-10-04 15:03:20"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Number of distinct products distributed in the fiscal year","Customer Satisfaction",Count,Monthly,0,"Over target",80000000,,,,,false,"2022-10-04 15:05:11"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Cost per Earth science data product (in the form of computer files) distributed to users","Financial Performance","Dollar per product",Semi-Annual,0,"Under target",0.12,,,,,false,"2022-10-04 15:05:12"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Number of distinct products distributed in the FY","Strategic and Business Results",Count,Semi-Annual,0,"Over target",80000000,,,,,false,"2022-10-04 15:05:12"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Ratio of distribution volume to archive vol.","Strategic and Business Results",Number,Semi-Annual,0,"Over target",1,,,,,false,"2022-10-04 15:05:14"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Number of products distributed (files)","Strategic and Business Results",Count,Monthly,0,"Over target",80000000,,,,,false,"2022-10-04 15:05:13"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","Ratio of distributed volume to archive volume","Customer Satisfaction",Number,Semi-Annual,0,"Over target",0,,,,,false,"2022-10-04 15:05:16"
026,"National Aeronautics and Space Administration",026-000001501,"NASA Earth Observing System Data Information System (EOSDIS)","EOSDIS average American Customer Satisfaction Index (ACSI) score determined annually.","Customer Satisfaction",Index,Annual,0,"Over target",69,,,,,false,"2022-10-04 15:05:16"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","IT Security Compliance: % of externally exploitable Foundstone* High vulnerabilities detected in monthly Foundstone vulnerability scans that are successfully and promptly mitigated within 1 month of detection. (*Foundstone is the vulnerability scanner required to be used by NASA HQ)","Customer Satisfaction","%vulnerabilities mitigated within 1mo of detection",Monthly,0,"Over target",0,,,,,false,"2022-10-04 15:05:37"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Availability: % up-time over the previous 6 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 90% availability as  target  performance and 95% availability as  best-in-class  performance.","Strategic and Business Results","% up-time",Quarterly,0,"Over target",95,,,,,false,"2022-10-04 15:05:41"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Availability: % up-time over the previous 6 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 90% availability as  target  performance and 95% availability as  best-in-class  performance.","Strategic and Business Results","% up-time",Quarterly,0,"Over target",95,,,,,false,"2022-10-04 15:05:39"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Reliability: Mean Time Between Interrupts (MTBI) over the previous 6 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 10 days MTBI as  target  performance and 14 days MTBI as  best-in-class  performance.","Strategic and Business Results",Days,Quarterly,0,"Over target",50,,,,,false,"2022-10-04 15:05:45"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","EC System Reliability: Mean Time Between Interrupts (MTBI) over the previous 6 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 10 days MTBI as  target  performance and 14 days MTBI as  best-in-class  performance.","Strategic and Business Results",Days,Quarterly,0,"Over target",50,,,,,false,"2022-10-04 15:05:43"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","Productivity enhancements provided that increase users  productivity in utilizing HECC resources for their simulations and data analysis. Enhancements include: optimizing code performance such as runtime or memory footprint; porting codes to HECC resources; troubleshooting code errors, compiler issues, library interfaces, I/O problems etc.; and providing tools and scripts to ease their task of using our systems.","Customer Satisfaction","# enhancements/6mo",Semi-Annual,0,"Over target",25,,,,,false,"2022-10-04 15:05:47"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","System utilization: total # of HEC cycles, expressed in Millions of new system billing units (SBUs), provided in the current month to support NASA s mission directorates and goals. The SBU rate was update 1-Oct-18 to Broadwell node processors.  This resulted in a 75% reduction in SBU but no change to processor capability.","Strategic and Business Results","Millions of SBUs/mo",Monthly,0,"Over target",6.5,,,,,false,"2022-10-04 15:05:46"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Availability: % up-time over the previous 6 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 90% availability as  target  performance and 95% availability as  best-in-class  performance.","Strategic and Business Results","% up time",Quarterly,0,"Over target",90,,,,,false,"2022-10-04 15:05:48"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","Cost of HECC supercomputing time per system billing unit (SBU). Values given will be the current cost as of the end of each 6/month reporting period. SBU rate was rebaselined to Broadwell processor on 1-Oct-18.  This resulted in an increase of SBU Rate but no reduction in capability.","Financial Performance",$/SBU,Semi-Annual,0,"Under target",0.59,,,,,false,"2022-10-04 15:05:47"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Availability: % up-time over the previous 6 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 90% availability as  target  performance and 95% availability as  best-in-class  performance.","Strategic and Business Results","% up-time",Quarterly,0,"Over target",95,,,,,false,"2022-10-04 15:05:35"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Reliability: Mean Time Between Interrupts (MTBI) over the previous 3 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 10 days MTBI as  target  performance and 14 days MTBI as  best-in-class  performance.
Strategic and Business Results","Strategic and Business Results",Days,Quarterly,0,"Over target",50,,,,,false,"2022-10-04 15:05:38"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","HEC System Reliability: Mean Time Between Interrupts (MTBI) over the previous 3 months. Values reported are for unscheduled outages. NASA/industry standards (e.g., CLeMO) classify 10 days MTBI as  target  performance and 14 days MTBI as  best-in-class  performance.","Strategic and Business Results",Days,Quarterly,0,"Over target",50,,,,,false,"2022-10-04 15:05:36"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","Productivity enhancements provided that increase users  productivity in utilizing HECC resources for their simulations and data analysis. Enhancements include: optimizing code performance such as runtime or memory footprint; porting codes to HECC resources; troubleshooting code errors, compiler issues, library interfaces, I/O problems etc.; and providing tools and scripts to ease their task of using our systems.","Customer Satisfaction","# enhancements/6mo",Semi-Annual,0,"Over target",25,,,,,false,"2022-10-04 15:05:41"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","System utilization: total # of HEC cycles, expressed in Millions of new system billing units (SBUs), provided in the current month to support NASA s mission directorates and goals. The SBU rate was update 1-Oct-18 to Broadwell node processors.  This resulted in a 75% reduction in SBU but no change to processor capability.","Strategic and Business Results","Millions of SBUs/month",Monthly,0,"Over target",9,,,,,false,"2022-10-04 15:05:40"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","Cost of HECC supercomputing time per system billing unit (SBU). Values given will be the current cost as of the end of each 6/month reporting period. SBU rate was rebaselined to Broadwell processor on 1-Oct-18.  This resulted in an increase of SBU Rate but no reduction in capability.","Financial Performance",$/SBU,Semi-Annual,0,"Under target",0.45,,,,,false,"2022-10-04 15:05:45"
026,"National Aeronautics and Space Administration",026-000001124,"NASA High-End Computing Capability (HECC)","Productivity enhancements provided that increase users  productivity in utilizing HECC resources for their simulations and data analysis. Enhancements include: optimizing code performance such as runtime or memory footprint; porting codes to HECC resources; troubleshooting code errors, compiler issues, library interfaces, I/O problems etc.; and providing tools and scripts to ease their task of using our systems.","Customer Satisfaction","Number of Enhancements",Semi-Annual,0,"Over target",25,,,,,false,"2022-10-04 15:05:44"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","6-month rolling average percentage of time services are available for customer support","Strategic and Business Results",Percent,Monthly,99,"Over target",99,,,,,false,"2022-10-04 15:03:51"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","percentage of time services were provided out of the total service time scheduled","Customer Satisfaction",Percent,Monthly,99.1,"Over target",99.1,,,,,false,"2022-10-04 15:03:50"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","total minutes of service (telemetry downlink, command uplink, tracking) provided to all NASA station customers","Strategic and Business Results",Minutes,Monthly,110000,"Over target",110000,,,,,false,"2022-10-04 15:03:51"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The average number of GB/mo retrieved from archive.","Customer Satisfaction",number,Annual,0,"Over target",500,,,,,false,"2022-10-04 15:03:24"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","Number of Missions supported by the NEN","Strategic and Business Results","Numeric Count",Monthly,20,"Over target",20,,,,,false,"2022-10-04 15:03:53"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","Number of service and test events scheduled for NASA stations per month","Customer Satisfaction","Numeric Count",Monthly,3300,"Over target",3300,,,,,false,"2022-10-04 15:03:52"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","percentage of time services were provided out of the total service time scheduled","Customer Satisfaction",percent,Monthly,99.1,"Over target",99.1,,,,,false,"2022-10-04 15:03:54"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","Number of missions supported by the NEN","Strategic and Business Results","numeric count",Monthly,20,"Over target",20,,,,,false,"2022-10-04 15:03:53"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","total minutes of service (telemetry downlink, command uplink, tracking) provided to all NASA station customers","Strategic and Business Results",Minutes,Monthly,110000,"Over target",110000,,,,,false,"2022-10-04 15:03:56"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","6-month rolling average percentage of time services are available for customer support","Strategic and Business Results",percent,Monthly,99,"Over target",99,,,,,false,"2022-10-04 15:03:55"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The percentage of IT milestones completed on or ahead of schedule.","Strategic and Business Results",percent,Annual,0,"Over target",90,,,,,false,"2022-10-04 15:03:34"
026,"National Aeronautics and Space Administration",026-000011567,"GSFC Near Earth Network (NEN) (240296)","Number of service and test events scheduled for NASA stations per month","Customer Satisfaction","numeric count",Monthly,3300,"Over target",3300,,,,,false,"2022-10-04 15:03:49"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The number of HST publications.","Customer Satisfaction",number,Annual,0,"Over target",700,,,,,false,"2022-10-04 15:03:37"
026,"National Aeronautics and Space Administration",026-000000846,"Hubble Space Telescope Operations (315404)","The percentage of system uptime for flight operations.","Strategic and Business Results",percent,Monthly,0,"Over target",99.95,,,,,false,"2022-10-04 15:03:36"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The percentage of hours on the high performance computing Cluster used by the scientific user community.","Customer Satisfaction",percentage,Monthly,75,"Over target",75,,,,,false,"2022-10-04 15:05:32"
026,"National Aeronautics and Space Administration",026-000001502,"NASA Center for Climate Simulation (NCCS)","The cost of one core hour at the NCCS.","Financial Performance","dollar value",Annual,0.1,"Under target",0.1,,,,,false,"2022-10-04 15:05:33"
